account_number,supplier,amount_due,service_charge,delivery_rate,supply_rate,interval_start,interval_end,kwh_delivered,pdf_file_name
30010320353,Mega Energy of Maine,393.39,21.47,0.077711,0.068400,12/21/2021,1/19/2022,4522,700000396769_bill.pdf
30010320353,Mega Energy of Maine,0,21.47,0.077711,0.068400,5/18/2022,6/10/2022,914,700000447768_bill.pdf
30010320353,,267.71,21.47,0.077711,,10/19/2021,11/16/2021,2989,701001427136_bill.pdf
30010320353,,484.64,21.47,0.077711,,11/17/2021,12/20/2021,5635,701001458379_bill.pdf
30010320353,,386.58,21.47,0.077711,,2/18/2022,3/18/2022,4439,701001542641_bill.pdf
30010320353,,374.04,21.47,0.077711,,3/19/2022,4/20/2022,4286,701001571608_bill.pdf
30010320353,Mega Energy of Maine,308.23,25.67,0.071564,0.068400,8/12/2022,9/13/2022,1904,701001700629_bill.pdf
30010320353,Standard Offer,514.29,25.67,0.069855,0.176310,2/10/2023,3/13/2023,1876,701001868909_bill.pdf
30010320353,,33.27,14.91,,,6/13/2023,6/30/2023,906,702001847715_bill.pdf
30010320353,,33.27,16.63,,,7/1/2023,7/13/2023,1011,702001847715_bill.pdf
30010320353,Mega Energy of Maine,130.31,13.01,0.077713,0.068400,6/11/2022,6/30/2022,669,703001515406_bill.pdf
30010320353,Mega Energy of Maine,130.31,10.11,0.071559,0.068400,7/1/2022,7/13/2022,436,703001515406_bill.pdf
30010320353,,0,21.47,0.077711,,4/21/2022,5/17/2022,1540,704001456921_bill.pdf
30010320353,Mega Energy of Maine,364.04,15.93,0.071567,0.068400,12/14/2022,12/31/2022,1136,704001666540_bill.pdf
30010320353,Mega Energy of Maine,364.04,9.74,0.069854,0.068400,1/1/2023,1/11/2023,1026,704001666540_bill.pdf
30010320353,Town Square Energy,373.5,25.67,0.069855,0.068400,1/12/2023,2/9/2023,2375,704001692285_bill.pdf
30010320353,Standard Offer,310.68,25.67,0.069855,0.176310,3/14/2023,4/11/2023,1092,705001739548_bill.pdf
30010320353,,41.83,39.65,,,8/13/2023,9/13/2023,2014,705001871139_bill.pdf
30010320353,Mega Energy of Maine,276.34,25.67,0.071564,0.068400,7/14/2022,8/11/2022,1688,706001519396_bill.pdf
30010320353,,27.08,25.67,,,5/12/2023,6/12/2023,3152,706001789496_bill.pdf
30010320353,,27.08,25.67,,,10/14/2022,11/10/2022,2643,708001593388_bill.pdf
30010320353,Mega Energy of Maine,385.9,25.67,0.071564,0.068400,11/11/2022,12/13/2022,2430,708001621067_bill.pdf
30010320353,,27.08,25.67,,,4/12/2023,5/11/2023,1715,710001737015_bill.pdf
30010320353,,41.83,39.65,,,7/14/2023,8/11/2023,1729,712001803444_bill.pdf
30010320353,,736.69,21.47,0.077711,,1/20/2022,2/17/2022,3911,713001326276_bill.pdf
30010320353,,144.57,21.47,0.077711,,9/17/2021,10/18/2021,1487,723001108951_bill.pdf
30010320353,,27.08,25.67,,,9/14/2022,10/13/2022,1773,723001414930_bill.pdf
30010320361,,91.35,21.47,0.077711,,12/21/2021,1/19/2022,838,700000396771_bill.pdf
30010320361,Mega Energy of Maine,80.01,21.47,0.077711,0.068400,5/18/2022,6/10/2022,470,700000447767_bill.pdf
30010320361,,77.33,21.47,0.077711,,10/19/2021,11/16/2021,667,701001427137_bill.pdf
30010320361,,99.72,21.47,0.077711,,11/17/2021,12/20/2021,940,701001458380_bill.pdf
30010320361,,84.96,21.47,0.077711,,2/18/2022,3/18/2022,760,701001542642_bill.pdf
30010320361,,84.14,21.47,0.077711,,3/19/2022,4/20/2022,750,701001571609_bill.pdf
30010320361,Mega Energy of Maine,109.04,25.67,0.071564,0.068400,8/12/2022,9/13/2022,555,701001700630_bill.pdf
30010320361,Standard Offer,121.87,25.67,0.069855,0.176310,2/10/2023,3/13/2023,365,701001868910_bill.pdf
30010320361,,33.27,14.91,,,6/13/2023,6/30/2023,287,702001847716_bill.pdf
30010320361,,33.27,16.63,,,7/1/2023,7/13/2023,320,702001847716_bill.pdf
30010320361,Mega Energy of Maine,103.22,13.01,0.077714,0.068400,6/11/2022,6/30/2022,315,703001515407_bill.pdf
30010320361,Mega Energy of Maine,103.22,10.11,0.071561,0.068400,7/1/2022,7/13/2022,205,703001515407_bill.pdf
30010320361,,0,21.47,0.077711,,4/21/2022,5/17/2022,566,704001456922_bill.pdf
30010320361,Town Square Energy,107.3,25.67,0.069855,0.068400,1/12/2023,2/9/2023,550,704001692286_bill.pdf
