,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95604,95605,2023-07-01 00:00:00,0,0,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95605,95606,2023-07-01 00:15:00,15,0,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95606,95607,2023-07-01 00:30:00,30,0,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95607,95608,2023-07-01 00:45:00,45,0,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95608,95609,2023-07-01 01:00:00,0,1,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95609,95610,2023-07-01 01:15:00,15,1,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95610,95611,2023-07-01 01:30:00,30,1,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95611,95612,2023-07-01 01:45:00,45,1,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95612,95613,2023-07-01 02:00:00,0,2,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95613,95614,2023-07-01 02:15:00,15,2,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95614,95615,2023-07-01 02:30:00,30,2,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95615,95616,2023-07-01 02:45:00,45,2,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95616,95617,2023-07-01 03:00:00,0,3,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95617,95618,2023-07-01 03:15:00,15,3,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95618,95619,2023-07-01 03:30:00,30,3,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95619,95620,2023-07-01 03:45:00,45,3,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95620,95621,2023-07-01 04:00:00,0,4,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
95621,95622,2023-07-01 04:15:00,15,4,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,Off-peak: 12AM to 7AM
