,page_number,file_path,content
0,1,./data/cmp/raw/bills/30010320353/700000447768_bill.pdf,"Page 1 of 4
Account Number Service Location Amount Due Date Due
3001-0320-353 AUSTIN STREET BREWERY LLC -$61.59
115 FOX ST UNIT 115
Invoice Number PORTLAND ME 04101
700000447768
Manage your account online: cmpco.com
Customer assistance line: 1.800.565.3181
Outage reporting line: 1.800.696.1000 Your Account Summary
Prior Balance -$225.14
Your Messages
Payments received through 06/21/2022 $0.00
If you need help paying your bill, you may be Balance Forward -$225.14
eligible for funds through Maine's Emergency Electricity Delivery Central Maine Power +$97.59
Rental Assistance or Homeowner Assistance Electricity Supply MEGA ENERGY OF MAINE LLC +$65.96
Fund program, the Arrearage Management No Payment Due -$61.59
program, the Electricity Lifeline Program and
heating assistance. For more information, please
visit cmpco.com/HelpWithBill or call us at
800.750.4000.
Thank you for choosing AutoPay - our most
convenient payment option. Your payments are
made automatically, on time every month. There
is no need to send payment with this bill.
CMP now provides kilowatts of demand (kW) on
your monthly bill - please take a moment to review
this information.
Our FREE Mobile App makes managing your
Your Monthly Usage Summary(kWh)
account easy and convenient. You can view
Your next meter reading is on or about 07/12/2022
and pay your bill, enroll in eBill, access outage kWh
information, and more! Text APP to 267-898 and
we'll send you a link to download the app. 7,550
6,040
We’re on the line for you every day! We're
improving the electricity delivery system by 4,530
replacing older poles with more durable ones,
3,020
using coated wire to better resist falling branches,
trimming trees across our service area, and 1,510
investing in smart technology to manage power
remotely and reduce outage impacts. 0
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2022 151 135 153 130 57* 38 0 0 0 0 0 0
2021 190 182 160 124 92 68 63 56 49 46 103 166
2020 81 75 67 46 23 20 21 27 29 32 44 75
Your Average Daily Usage (kWh)
Please return this stub with your payment. Please allow 7 to 10
business days for processing. Do not send cash or coins, and
do not return with staples or paper clips. Thank you.
Account Number
3001-0320-353
Central Maine Power Date Due
PO Box 847810
Boston, MA 02284-7810
Amount Due
AUSTIN STREET BREWERY LLC
C/O ATTN AUSTIN STREET BREWERY $0.00
1 INDUSTRIAL WAY UNIT 8
PORTLAND ME 04103-1072 Amount Paid
Please do not write below this line.
100718220030010320353000000000"
1,2,./data/cmp/raw/bills/30010320353/700000447768_bill.pdf,"Bill Date 06/21/2022 Invoice Number 700000447768 Account Number 3001-0320-353 Page 2 of 4
Your Central Maine Power Delivery Service Account Detail
Prior Balance for Central Maine Power Delivery -$225.14
Payments received $0.00
Balance Forward -$225.14
Adjustments
Apply credit available +$65.96
Total Adjustments $65.96
Delivery Charges
Delivery Charges: SGS Secondary 3 Phase ( 05/18/2022 - 06/10/2022 )
Service Charge - Three Phase @$21.47 +$21.47
Delivery Service: 914 KWH @$0.077711 +$71.03
Demand Charge
Demand
Measured 14.29 KW
Maine Sales Tax +$5.09
Total Current Delivery Charges $97.59
Central Maine Power Account Balance -$61.59
Your Meter Details Read Cycle 07
Meter Number Read Date Meter Reading Prior Read Date Prior Meter Reading Number of Days Total kWh
L108605388 06/10/2022 68,449 05/17/2022 67,535 23 914
Mail Address Changes
Please “X” for mail address changes and fill in
your new mailing address information below.
If you are moving or need to stop service,
please call a Customer Representative at 1.800.750.4000
Please do not write below this line."
2,3,./data/cmp/raw/bills/30010320353/700000447768_bill.pdf,"Bill Date 06/21/2022 Invoice Number 700000447768 Account Number 3001-0320-353 Page 3 of 4
Customer Information for Your Delivery Service
Delivery rates are approved by the Maine Public Utilities Commission. For bills that cover both electricity supply and CMP delivery, CMP
forwards energy-supply payments to the appropriate energy provider. For a schedule of CMP delivery rates, visit www.cmpco.com or call
us at 1.800.565.3181.
What’s a kilowatt-hour? Questions?
Electric power is measured in watts. 1000 watts of power used for 1 To ask a question or dispute a bill, you can email
hour is a kilowatt-hour (kWh) of energy. Example: a 100 watt bulb lit customer.service@cmpco.com, or call 1.800.565.3181, or write to
for 10 hours uses 1 kWh of energy. CMP Customer Service, 83 Edison Drive, Augusta, ME 04336.
Sales-Tax Exemption Payment Arrangements
Maine sales tax does not apply to the first 750 kilowatt-hours (kWh) If you have trouble paying your bill, a payment plan may help. Call
of residential usage. 1.800.565.3181 for more information.
Late-Payment Charge Maine Public Utilities Commission (MPUC)
Bills are due on receipt. The 2022 rate of 0.267% will be applied each The MPUC's Consumer Assistance and Safety Division (CASD)
month to the unpaid balance after 25 days from the bill postmark. investigates and resolves complaints, educates the public and ensures
utilities remain in compliance with State statutes and Commission
Estimated Bills rules. To contact the CASD, call 1.800.452.4699 or visit
When we cannot read your meter, we will estimate your usage for the www.maine.gov/mpuc.
month. You have the right to read your own meter. Visit www.cmpco.
com for more information, or call 1.800.565.3181."
3,4,./data/cmp/raw/bills/30010320353/700000447768_bill.pdf,"Bill Date 06/21/2022 Invoice Number 700000447768 Account Number 3001-0320-353 Page 4 of 4
Your Electricity Supply Account Detail
You have chosen MEGA ENERGY OF MAINE LLC as your electricity supplier
Customer Support Hours: 8:00 AM TO 5:00 PM M-F
Phone: 1-855-810-6342
Your MEGA ENERGY OF MAINE LLC Account Number: 2103080007
AUSTIN STREET BREWERY LLC
115 FOX ST UNIT 115 PORTLAND ME 04101
Prior Balance for MEGA ENERGY OF MAINE LLC $0.00
Payments received $0.00
Balance Forward $0.00
Adjustments
Reduce credit available -$65.96
Total Adjustments -$65.96
New Supply Charges
Rate RF684 : ( 05/18/2022 - 06/10/2022 )
Energy Charge 914 KWH @$0.068400 +$62.52
Maine Sales Tax +$3.44
Total New Supply Charges $65.96
MEGA ENERGY OF MAINE LLC Account Balance $0.00
Messages About Your Electricity Supply
CMP delivers your electricity. Your electricity supply is provided by MEGA ENERGY OF MAINE LLC.
For information regarding electricity supply options, please see the Office of the Public Advocate website at: https://www.maine.gov/meopa/
electricity/electricity-supply or contact them at 207-624-3687.
Central Maine Power provides billing services for your electricity supplier. Supply payments are forwarded on your behalf, in accordance with
the Maine Public Utilities Commission (MPUC) rules.
For additional information regarding SOP supply, please visit the MPUC website: maine.gov/mpuc/regulated-utilities/electricity/standard-offer-
rates or call them at 207.287.3831.
For information regarding your supply contract terms and conditions, please call your electricity supplier at the telephone number listed above.
Visit us at cmpco.com/UnderstandYourUsage to see how you can understand and manage your usage. You can also choose your supplier, and
possibly find a better supply price, by visiting maine.gov/mpuc or maine.gov/meopa/electricity/electricity-supply, or by calling the Maine Public
Utilities Commission at 207.287.3831.
We are your energy delivery company. Other companies, not regulated by the MPUC, supply your power, which we deliver to you safely and
reliably. We include the supply charges on your bill and pass your payments to the suppliers. You will see your supplier and their supply charges
itemized on this page."
4,1,./data/cmp/raw/bills/30010320353/704001692285_bill.pdf,"Page 1 of 5
Account Number Service Location Amount Due Date Due
3001-0320-353 AUSTIN STREET BREWERY LLC $373.50 03/14/2023
115 FOX ST UNIT 115
Invoice Number PORTLAND ME 04101
704001692285
Manage your account online: cmpco.com
Customer Service: 1.800.565.3181
Outage reporting line: 1.800.696.1000 Your Account Summary
Prior Balance $364.04
Your Messages
Payments received through 02/15/2023 - Thank you -$364.04
If you need help paying your bill, you may be Balance Forward $0.00
eligible for funds through Maine's Homeowner CMP Delivery +$202.12
Assistance Fund program, the Arrearage Non-CMP Supplier GENIE RETAIL DBA TOWN SQUARE ENERGY LLC +$171.38
Management program, the Electricity Lifeline Please pay by 03/14/2023 $373.50
program and the Home Energy Assistance
program. For more information, please visit
cmpco.com/HelpWithBill or call us at
800.750.4000.
Thank you for choosing AutoPay - our most
convenient payment option. Your payments are
made automatically, on time every month. There
is no need to send payment with this bill.
CMP now provides kilowatts of demand (kW) on
your monthly bill - please take a moment to review
this information.
Manage your account anytime, anywhere with our
Your Monthly Billed Usage Summary(kWh)
FREE Mobile App. You can view and pay your
Your next meter reading is on or about 03/10/2023
bill, enroll in eBill, access outage information, and kWh
more! Text APP to 267898 and we'll send you a
link to download the app. 7,550
6,040
We’re building a smarter, stronger, more resilient
grid by upgrading to more durable poles, using 4,530
coated wire to better resist falling branches,
3,020
trimming trees across our service area and
investing in smart technology to reduce outage 1,510
impacts.
0
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2023 75 82 0 0 0 0 0 0 0 0 0 0
2022 151 135 153 130 57* 38 33 58 58 0 0 74
2021 190 182 160 124 92 68 63 56 49 46 103 166
Your Average Daily Billed Usage (kWh) *Estimated Reading
Please return this stub with your payment. Please allow 7 to 10
business days for processing. Do not send cash or coins, and
do not return with staples or paper clips. Thank you.
Account Number
3001-0320-353
Central Maine Power Date Due
PO Box 847810
03/14/2023
Boston, MA 02284-7810
Amount Due
AUSTIN STREET BREWERY LLC
C/O ATTN AUSTIN STREET BREWERY $373.50
1 INDUSTRIAL WAY UNIT 8
PORTLAND ME 04103-1072 Amount Paid
Please do not write below this line.
100314230030010320353000037350"
5,2,./data/cmp/raw/bills/30010320353/704001692285_bill.pdf,"Bill Date 02/15/2023 Invoice Number 704001692285 Account Number 3001-0320-353 Page 2 of 5
Your Central Maine Power Delivery Service Account Detail
Prior Balance for Central Maine Power Delivery $188.47
Payments received - Thank you -$188.47
Balance Forward $0.00
Delivery Charges
Delivery Charges: SGS Secondary 3 Phase ( 01/12/2023 - 02/09/2023 )
Service Charge - Three Phase @$25.67 +$25.67
Delivery Service: 2,375 KWH @$0.069855 +$165.91
Demand Charge
Demand
Measured 17.76 KW
Maine Sales Tax +$10.54
Total Current Delivery Charges $202.12
Central Maine Power Account Balance $202.12
Your Meter Details Read Cycle 07
Meter Number Read Date Meter Reading Prior Read Date Prior Meter Reading Number of Days Total kWh
Use L108605388 02/09/2023 88,391 01/11/2023 85,480 29 2,911
Your Generation Details (kWh)
You can find definitions and explanations of Net Energy and Distributed Generation invoices on our website at cmpco.com/NEB-DG
Allocated
Fixed Percentage Billing Period Usage Banked Generation Unused Expired Credits
Generation
0.534000% 01/12/23-02/09/23 2,911 536 0 0
0.534000% 12/14/22-01/11/23 2,704 542 0 0
0.534000% 11/11/22-12/13/22 5,214 1,523 0 0
0.534000% 10/14/22-11/10/22 2,643 2,009 1,261 0
Please contact the Project Sponsor for details regarding the allocated generation credited to your account. You receive allocated generation
produced by NextGrid Mastic.
Mail Address Changes
Please “X” for mail address changes and fill in
your new mailing address information below.
If you are moving or need to stop service,
please call a Customer Representative at 1.800.750.4000
Please do not write below this line."
6,3,./data/cmp/raw/bills/30010320353/704001692285_bill.pdf,"Bill Date 02/15/2023 Invoice Number 704001692285 Account Number 3001-0320-353 Page 3 of 5
Your Monthly Usage Summary(kWh)
Your next meter reading is on or about 03/10/2023
kWh
6,300
5,040
3,780
2,520
1,260
0
Mar Apr May Jun Jul Aug Sep Oct Nov Dec Jan Feb
Gen 0 0 0 0 0 0 0 0 2009 1523 542 536
Use 0 0 0 0 0 0 0 0 2643 5214 2704 2911
*Estimated Reading
Customer Information for Your Delivery Service
Delivery rates are approved by the Maine Public Utilities Commission. For bills that cover both electricity supply and CMP delivery, CMP
forwards energy-supply payments to the appropriate energy provider. For a schedule of CMP delivery rates, visit www.cmpco.com or call
us at 1.800.565.3181.
What’s a kilowatt-hour? Questions?
Electric power is measured in watts. 1000 watts of power used for 1 To ask a question or dispute a bill, you can email
hour is a kilowatt-hour (kWh) of energy. Example: a 100 watt bulb lit customer.service@cmpco.com, or call 1.800.565.3181, or write to
for 10 hours uses 1 kWh of energy. CMP Customer Service, 83 Edison Drive, Augusta, ME 04336.
Sales-Tax Exemption Payment Arrangements
Maine sales tax does not apply to the first 750 kilowatt-hours (kWh) If you have trouble paying your bill, a payment plan may help. Call
of residential usage. 1.800.565.3181 for more information.
Late-Payment Charge Maine Public Utilities Commission (MPUC)
Bills are due on receipt. A rate of 0.949% will be applied each The MPUC's Consumer Assistance and Safety Division (CASD)
month to the unpaid balance after 25 days from the bill postmark. investigates and resolves complaints, educates the public and ensures
utilities remain in compliance with State statutes and Commission
Estimated Bills rules. To contact the CASD, call 1.800.452.4699 or visit
When we cannot read your meter, we will estimate your usage for the www.maine.gov/mpuc.
month. You have the right to read your own meter. Visit www.cmpco.
com for more information, or call 1.800.565.3181."
7,4,./data/cmp/raw/bills/30010320353/704001692285_bill.pdf,"Bill Date 02/15/2023 Invoice Number 704001692285 Account Number 3001-0320-353 Page 4 of 5
You have chosen to purchase your electricity supply from: GENIE RETAIL DBA TOWN SQUARE ENERGY LLC.
Rates for electricity supply are not set by CMP yet we are required to bill and collect them on behalf of your Supplier.
Supplier: GENIE RETAIL DBA TOWN SQUARE ENERGY LLC
Customer Support Hours: 1-877-430-0093 9 AM TO 5PM EST
Phone: 9734385820
GENIE RETAIL DBA TOWN SQUARE ENERGY LLC Account Number: 030010320353
AUSTIN STREET BREWERY LLC
115 FOX ST UNIT 115 PORTLAND ME 04101
Prior Balance for GENIE RETAIL DBA TOWN SQUARE ENERGY LLC Supplier $0.00
Payments received $0.00
Balance Forward $0.00
New Supplier Charges
Rate 06840 : ( 01/12/2023 - 02/09/2023 )
Energy Charge 2,375 KWH @$0.068400 +$162.45
Maine Sales Tax +$8.93
Total New Supplier Charges $171.38
GENIE RETAIL DBA TOWN SQUARE ENERGY LLC Supplier Account Balance $171.38
Supplier Information
CMP does not generate or supply electricity. We deliver your electricity. Your electricity is supplied by GENIE RETAIL DBA TOWN SQUARE
ENERGY LLC.
For information regarding electricity supply options, please see the Office of the Public Advocate website at: https://www.maine.gov/meopa/
electricity/electricity-supply or contact them at 207-624-3687.
CMP provides billing services for your electricity supplier. We are required to bill and collect supplier charges and forward payments on your
behalf, in accordance with MPUC rules.
For additional information regarding SOP supply, please visit the MPUC website: maine.gov/mpuc/regulated-utilities/electricity/standard-offer-
rates or call them at 207.287.3831.
For information regarding your supply contract terms and conditions, please call your electricity supplier at the telephone number listed above.
Standard Offer supply prices increased January 1. Visit us at cmpco.com/UnderstandYourUsage to see ways to manage your usage. You
can also choose your supplier, and possibly find a better supply price, or by visiting maine.gov/mpuc or maine.gov/meopa/electricity/electricity-
supply.
CMP is your energy delivery company. Other companies, not regulated by the MPUC, supply your electricity, which we deliver to you safely and
reliably. CMP does not control the supply price though we are required to include and collect the costs in our monthly bills. You will see your
supplier and their supply charges itemized on this page."
8,5,./data/cmp/raw/bills/30010320353/704001692285_bill.pdf,"Bill Date 02/15/2023 Invoice Number 704001692285 Account Number 3001-0320-353 Page 5 of 5
You have chosen to purchase your electricity supply from: MEGA ENERGY OF MAINE LLC.
Rates for electricity supply are not set by CMP yet we are required to bill and collect them on behalf of your Supplier.
Supplier: MEGA ENERGY OF MAINE LLC
Customer Support Hours: 8:00 AM TO 5:00 PM M-F
Phone: 1-855-810-6342
MEGA ENERGY OF MAINE LLC Account Number: 2103080007
AUSTIN STREET BREWERY LLC
115 FOX ST UNIT 115 PORTLAND ME 04101
Prior Balance for MEGA ENERGY OF MAINE LLC Supplier $175.57
Payments received - Thank you -$175.57
Balance Forward $0.00
MEGA ENERGY OF MAINE LLC Supplier Account Balance $0.00
Supplier Information"
9,1,./data/cmp/raw/bills/30010320353/701001700629_bill.pdf,"Page 1 of 3
Account Number Service Location Amount Due Date Due
3001-0320-353 AUSTIN STREET BREWERY LLC $308.23 10/11/2022
115 FOX ST UNIT 115
Invoice Number PORTLAND ME 04101
701001700629
Manage your account online: cmpco.com
Customer assistance line: 1.800.565.3181
Outage reporting line: 1.800.696.1000 Your Account Summary
Prior Balance $276.34
Your Messages
Payments received through 09/13/2022 - Thank you -$276.34
If you need help paying your bill, you may be Balance Forward $0.00
eligible for funds through Maine's Emergency Electricity Delivery Central Maine Power +$170.84
Rental Assistance or Homeowner Assistance Electricity Supply MEGA ENERGY OF MAINE LLC +$137.39
Fund program, the Arrearage Management Please pay by 10/11/2022 $308.23
program, the Electricity Lifeline Program and
heating assistance. For more information, please
visit cmpco.com/HelpWithBill or call us at
800.750.4000.
Thank you for choosing AutoPay - our most
convenient payment option. Your payments are
made automatically, on time every month. There
is no need to send payment with this bill.
CMP now provides kilowatts of demand (kW) on
your monthly bill - please take a moment to review
this information.
Our FREE Mobile App makes managing your
Your Monthly Usage Summary(kWh)
account easy and convenient. You can view
Your next meter reading is on or about 10/12/2022
and pay your bill, enroll in eBill, access outage kWh
information, and more! Text APP to 267-898 and
we'll send you a link to download the app. 7,550
6,040
We’re on the line for you every day! We're
improving the electricity delivery system by 4,530
replacing older poles with more durable ones,
3,020
using coated wire to better resist falling branches,
trimming trees across our service area, and 1,510
investing in smart technology to manage power
remotely and reduce outage impacts. 0
Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec
2022 151 135 153 130 57* 38 33 58 58 0 0 0
2021 190 182 160 124 92 68 63 56 49 46 103 166
2020 81 75 67 46 23 20 21 27 29 32 44 75
Your Average Daily Usage (kWh)
Please return this stub with your payment. Please allow 7 to 10
business days for processing. Do not send cash or coins, and
do not return with staples or paper clips. Thank you.
Account Number
3001-0320-353
Central Maine Power Date Due
PO Box 847810
10/11/2022
Boston, MA 02284-7810
Amount Due
AUSTIN STREET BREWERY LLC
C/O ATTN AUSTIN STREET BREWERY $308.23
1 INDUSTRIAL WAY UNIT 8
PORTLAND ME 04103-1072 Amount Paid
Please do not write below this line.
101011220030010320353000030823"
