,id,timestamp,increment,hour,date,week,week_in_year,month,month_name,quarter,year,period
98997,98998,2023-08-05 08:15:00,15,8,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
98998,98999,2023-08-05 08:30:00,30,8,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
98999,99000,2023-08-05 08:45:00,45,8,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99000,99001,2023-08-05 09:00:00,0,9,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99001,99002,2023-08-05 09:15:00,15,9,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99002,99003,2023-08-05 09:30:00,30,9,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99003,99004,2023-08-05 09:45:00,45,9,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99004,99005,2023-08-05 10:00:00,0,10,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99005,99006,2023-08-05 10:15:00,15,10,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99006,99007,2023-08-05 10:30:00,30,10,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99007,99008,2023-08-05 10:45:00,45,10,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99008,99009,2023-08-05 11:00:00,0,11,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99009,99010,2023-08-05 11:15:00,15,11,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99010,99011,2023-08-05 11:30:00,30,11,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99011,99012,2023-08-05 11:45:00,45,11,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99012,99013,2023-08-05 12:00:00,0,12,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99013,99014,2023-08-05 12:15:00,15,12,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99014,99015,2023-08-05 12:30:00,30,12,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99015,99016,2023-08-05 12:45:00,45,12,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99016,99017,2023-08-05 13:00:00,0,13,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99017,99018,2023-08-05 13:15:00,15,13,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99018,99019,2023-08-05 13:30:00,30,13,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99019,99020,2023-08-05 13:45:00,45,13,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99020,99021,2023-08-05 14:00:00,0,14,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99021,99022,2023-08-05 14:15:00,15,14,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99022,99023,2023-08-05 14:30:00,30,14,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99023,99024,2023-08-05 14:45:00,45,14,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99024,99025,2023-08-05 15:00:00,0,15,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99025,99026,2023-08-05 15:15:00,15,15,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99026,99027,2023-08-05 15:30:00,30,15,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99027,99028,2023-08-05 15:45:00,45,15,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99028,99029,2023-08-05 16:00:00,0,16,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99029,99030,2023-08-05 16:15:00,15,16,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99030,99031,2023-08-05 16:30:00,30,16,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99031,99032,2023-08-05 16:45:00,45,16,2023-08-05,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99032,99033,2023-08-05 17:00:00,0,17,2023-08-05,31,31,8,August,3,2023,On-peak: 5PM to 9PM
